epitaph
Вечная память
Вечная память
Нина Борисовна навсегда останется в наших сердцах.
Нина Борисовна навсегда останется в наших сердцах.
"Совкова Надежда Михайловна, моя мама. Очень скучаю.... Мне так ее не хватает... Светлая память."
"Дядя Ваня, Иван Александрович, дедушка. Ты навсегда останешься в наших сердцах. Помним, любим…"
Помним и любим
Вечная память
Нина Борисовна навсегда останется в наших сердцах.
"Совкова Надежда Михайловна, моя мама. Очень скучаю.... Мне так ее не хватает... Светлая память."
Тамара Ильинична навсегда останется в наших сердцах.
Антонина Диомидовна навсегда останется в наших сердцах.
Игорь Владимирович навсегда останется в наших сердцах.
Анатолий Николаевич навсегда останется в наших сердцах.
Родился в Москве. Предки из с. Попадьино Рязанской губернии.
Татьяна Николаевна навсегда останется в наших сердцах.
"Скворцов Иван Егорович родился в д. Симаково Ковровского уезда Владимирской губернии. Занимался сельским хозяйством во Владимирской и Ивановской областях, был на ответственной партийной и государственной работе. После войны семья переехала в Москву. Иван Егорович воспитал двух сыновей и пятерых внуков."
Николай Николаевич навсегда останется в нашей памяти.
Вечная память
"Дядя Ваня, Иван Александрович, дедушка. Ты навсегда останешься в наших сердцах. Помним, любим…"
Помним и любим
"Дядя Ваня, Иван Александрович, дедушка. Ты навсегда останешься в наших сердцах. Помним, любим…"
Помним и любим
"Дядя Ваня, Иван Александрович, дедушка. Ты навсегда останешься в наших сердцах. Помним, любим…"
Помним и любим
Вечная память
Нина Борисовна навсегда останется в наших сердцах.
"Совкова Надежда Михайловна, моя мама. Очень скучаю.... Мне так ее не хватает... Светлая память."
Тамара Ильинична навсегда останется в наших сердцах.
Антонина Диомидовна навсегда останется в наших сердцах.
Игорь Владимирович навсегда останется в наших сердцах.
Анатолий Николаевич навсегда останется в наших сердцах.
Родился в Москве. Предки из с. Попадьино Рязанской губернии.
Татьяна Николаевна навсегда останется в наших сердцах.
"Скворцов Иван Егорович родился в д. Симаково Ковровского уезда Владимирской губернии. Занимался сельским хозяйством во Владимирской и Ивановской областях, был на ответственной партийной и государственной работе. После войны семья переехала в Москву. Иван Егорович воспитал двух сыновей и пятерых внуков."
Николай Николаевич навсегда останется в нашей памяти.
Наталья Николаевна навсегда останется в наших сердцах.
Александр Борисович
Самия Каюмовна
"Любимой бабушке, посвящается..."
...
Моряков Олег Сергеевич
"Любящий отец, надежный друг и соратник. Его забота многие годы была для меня живительным источником, подобным оазису в пустыне. Объездив вдоль и поперек пески Африки, он никогда не был сухим, черствым человеком. Он излучал доброту."
"Цыбулевский Григорий Моисеевич родился 2 мая 1911 года в м. Полимония (Литовская ССР), скончался 19 февраля 1984 года в Москве.
Покойся с миром. Благодарю, что дал мне жизнь. Вечная память!"
Навсегда
В сердце и в памяти.
"Она как плод, который созрел и отправился ко Господу. Всем нам монахиня Митродора запомнится как человек, полностью посвятивший себя Богу, всецело погруженный в молитву за окружавших ее людей и живущий со словами «СЛАВА БОГУ ЗА ВСЕ!»"
"Она как плод, который созрел и отправился ко Господу. Всем нам монахиня Митродора запомнится как человек, полностью посвятивший себя Богу, всецело погруженный в молитву за окружавших ее людей и живущий со словами «СЛАВА БОГУ ЗА ВСЕ!»"
"Как много нашего ушло с тобой, 
Как много твоего осталось с нами…"
Отличный дедушка
"Николай Михайлович навсегда останется в наших сердцах.
добрым и отзывчивым человеком, любящим мужем, отцом, дедушкой.
Пусть земля будет ему пухом"
"«Звезда надежды благодатная,
Звезда любви волшебных дней,
Ты будешь вечно незакатная
В душе тоскующей моей. »"
Любимой маме посвящается…
"Светлая тебе память, мамочка!"
"Папа, дедушка был примером доброты, честности. Он всегда старался нам помочь, направить на верный путь. Он строил жизнь своим трудом."
"Всю свою жизнь Дмитрий Дмитриевич строил мосты и другие транспортные объекты на дорогах СССР и России. За полувековой опыт частички души и сердца вложены в многочисленные уникальные мосты в Поволжье, республиках Средней Азии и Москве."
Эпитафия
Дорогой маме посвящается…
"Не слышно голоса родного,
Не видно добрых милых глаз,
Зачем судьба была жестока?
Как рано ты ушел от нас!
Великой скорби не измерить,
Слезами горю не помочь,
Тебя нет с нами, но навеки
В сердцах ты наших не умрешь!"
"Маргарита Феофановна всегда с нами, любим и знаем, что она заботится о нас"
Дорогой маме посвящается…
"Наталия Ивановна навсегда останется в наших сердцах. Она была добрым, отзывчивым человеком. Любящей матерью. Всю жизнь она старалась поступать по совести и учила всех не унывать даже в трудных ситуациях. Она и сейчас смотрит на нас, и считает, что все будет хорошо. Если бы я знал, для чего фотографируемся."
"Хороший добрый был человек. 
Ушёл слишком рано, нам его не хватает."
"Любимый муж, папа и дедушка"
"Потрясающая женщина. Любящая мама, сестра, жена, тётя, бабушка. Ты создала нашу семью, и создала её большой, крепкой и счастливой. Пока мы живы, ты навсегда в наших сердцах"
Скорбим и помним
Лариса Васильевна навсегда останется в наших сердцах. От родных и близких. Помним. Любим. Скорбим.
Покойся с миром...
Дорогой и любимой…
"Как много нашего
Ушло с тобой!
Как много твоего
Осталось с нами…"
.
Татьяна Викторовна навсегда останется в наших сердцах. От любящих матери и сына. Вечная память.  Помним. Любим. Скорбим.
.
Самая замечательная мама
"Роман Юрьевич навсегда останется в наших сердцах. Он был замечательным человеком, лучшим другом, прекрасным Преподавателем. Роман Юрьевич всегда оставался верен своим принципам, своему призванию, благодаря чему останется в памяти учеников"
"ТЫ ПРОЖИЛ ЖИЗНЬ 
СВОЮ ДОСТОЙНО,
ОСТАВИЛ ПАМЯТЬ 
О СЕБЕ НА ВЕК,
В БЕЗМОЛВНОМ МИРЕ
СПИ СПОКОЙНО 
ЛЮБИМЫЙ НАМИ ЧЕЛОВЕК."
Дорогому папе посвящается...
Валентина Михайловна навсегда останется в наших сердцах!
.
Иван Павлович навсегда останется в наших сердцах!
Дорогой маме посвящается...
Наша любовь и уважение останутся в светлых воспоминаниях.
Татьяна Викторовна навсегда останется в наших сердцах. Помним. Любим. Скорбим. От родных и близких.
Ты всегда останешься в наших сердцах.
Елена Ивановна навсегда останется в наших сердцах. От родных и близких. Помним. Любим. Скорбим.
Дорогому папе посвящается...
"Антонина Васильевна навсегда останется в наших сердцах. Заботливая мама и бабушка, страстный лесовик и садовод, веселый и общительный человек."
"Он любил жизнь и торопился жить... Он верил, что может всё, и действительно мог всё. Он сам создавал свой мир и у него неплохо получалось"
"Вы навсегда в наших сердцах, наша дорогая и любимая Вероника Вячеславовна! Вы - мама Эдельвейса! Мы никогда не забудем Вас и будем прикладывать все силы, чтобы наше обьединение не потеряло своё гордое название «Эдельвейс»!"
"Евгения Алексеевна была добрым отзывчивым человеком, прожившим долгую интересную жизнь."
Овсянников Алексей Валерьевич
"Покойся с миром, дорогая мамочка.
Ты прожила долгую, насыщенную, достойную, хотя и не всегда легкую жизнь.

Со мной ты останешься навсегда"
"Паша - любимый муж, сын, внук. Любящий отец, равных которому не было. Творческий, талантливый. Душа компании. За ним как за каменной стеной. Надёжный, самый небезразличный и заботливый. Просто лучший. Мы будем всегда помнить тебя и любить."
"Любимая жена, мать, бабушка, прабабушка навсегда останется в наших сердцах"
Дорогому отцу посвящается..
"Елена Георгиевна - моя Бабушка, прожила долгую жизнь, наполненную и радостями и, конечно же, сложностями и потерями. Светлая память. Ты в моём сердце и в памяти."
Дорогой жене посвящается...
Юрий Анатольевич навсегда останется в наших сердцах.
Дорогому дяде посвящаю..
"Есть только миг между прошлым и будущим.
Именно он называется жизнь."
"Ты всегда был верен своим принципам
Тому что делал, отдавался всецело
Все к чему ты стремился и что создавал, ты хотел чтобы сохранилось на века"
"УШЛА, 
ПОКИНУВ ЭТОТ СВЕТ,
УШЛА ОТ ВСЕХ,
НЕ ОГЛЯНУВШИСЬ,
УШЛА ТУДА, 
ГДЕ БОЛИ НЕТ,
УСНУЛА, 
БОЛЬШЕ НЕПРОСНУВШИСЬ."
